iter	Passed	Remaining
0	2	262
1	4	222
2	6	206
3	7	190
4	9	183
5	11	177
6	13	175
7	14	171
8	16	167
9	18	163
10	19	159
11	21	156
12	23	154
13	24	151
14	26	148
15	28	147
16	29	144
17	31	141
18	32	138
19	34	138
20	36	136
21	38	135
22	39	132
23	41	132
24	43	131
25	45	128
26	46	126
27	48	123
28	49	121
29	50	118
30	51	115
31	53	112
32	54	110
33	55	107
34	56	105
35	58	103
36	59	100
37	60	98
38	61	95
39	62	93
40	63	91
41	63	88
42	64	86
43	65	83
44	66	81
45	68	79
46	69	77
47	70	76
48	71	74
49	72	72
50	73	70
51	74	68
52	75	66
53	76	64
54	76	62
55	77	60
56	78	59
57	79	57
58	79	55
59	80	53
60	81	51
61	81	50
62	82	48
63	83	46
64	83	45
65	84	43
66	85	41
67	85	40
68	86	39
69	87	37
70	88	36
71	88	34
72	89	33
73	90	31
74	90	30
75	91	28
76	91	27
77	92	26
78	93	24
79	93	23
80	94	22
81	94	20
82	95	19
83	95	18
84	96	17
85	97	15
86	97	14
87	98	13
88	98	12
89	99	11
90	100	9
91	100	8
92	101	7
93	102	6
94	102	5
95	103	4
96	103	3
97	104	2
98	104	1
99	105	0
